Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
GreenBeads63x.lif-Series005,bead90,,,,,,,,,,0.9967602892084215,0.9496003943090175,0.9734780449272279,,817,1005,valid,R2 below R2 Threshold,valid
GreenBeads63x.lif-Series005,bead91,,,,,,,,,,0.9976011189702075,0.9949878322000896,0.9845815353142051,,598,1728,valid,valid,valid
GreenBeads63x.lif-Series005,bead92,,,,,,,,,,0.9964127175566512,0.9955434445396212,0.9823896549530563,,1314,1821,valid,valid,valid
GreenBeads63x.lif-Series005,bead93,,,,,,,,,,0.9991491702156553,0.9966421319550545,0.9882899320723034,,157,1390,valid,valid,valid
GreenBeads63x.lif-Series005,bead94,,,,,,,,,,0.9976590784974565,0.994419324033768,0.9857927486913162,,119,1294,valid,valid,valid
GreenBeads63x.lif-Series005,bead95,,,,,,,,,,0.9982671988906013,0.9935220164138028,0.9795029246427723,,339,1014,valid,valid,valid
GreenBeads63x.lif-Series005,bead96,,,,,,,,,,0.998936941909217,0.9944768038417616,0.9839320585898806,,140,1254,valid,valid,valid
GreenBeads63x.lif-Series005,bead97,,,,,,,,,,0.9980469161811902,0.9939449180033891,0.9824035950092574,,154,1325,valid,valid,valid
GreenBeads63x.lif-Series005,bead98,,,,,,,,,,0.9961507018513968,0.9889164437936884,0.9888117383191926,,1661,688,valid,valid,valid
GreenBeads63x.lif-Series005,bead99,,,,,,,,,,0.9981001672421854,0.9976403795423874,0.9844138627477981,,927,2016,valid,valid,valid
GreenBeads63x.lif-Series005,bead100,,,,,,,,,,0.9976039023607833,0.9930260011026223,0.9841039981120239,,1696,1207,valid,valid,valid
GreenBeads63x.lif-Series005,bead101,,,,,,,,,,0.9965864992072911,0.9930752935312567,0.9792201017490267,,1208,400,valid,valid,valid
GreenBeads63x.lif-Series005,bead102,,,,,,,,,,0.9976972971069917,0.9963300193453369,0.9858658871552092,,1205,1971,valid,valid,valid
GreenBeads63x.lif-Series005,bead103,,,,,,,,,,0.9993887184141512,0.9935765178483351,0.9858431283738517,,230,817,valid,valid,valid
GreenBeads63x.lif-Series005,bead104,,,,,,,,,,0.9962457863706149,0.9924374544984413,0.9818198346133417,,969,110,valid,valid,valid
GreenBeads63x.lif-Series005,bead105,,,,,,,,,,0.9973023737523367,0.995123611183212,0.9888436832601408,,1736,1627,valid,valid,valid
GreenBeads63x.lif-Series005,bead106,,,,,,,,,,0.9983803233707309,0.9979932605282007,0.9897102733657287,,1989,190,outlier (above upper fence of 0.297µm),outlier (above upper fence of 0.308µm),valid
GreenBeads63x.lif-Series005,bead107,,,,,,,,,,0.9971616714975323,0.9959175429122777,0.984989841295706,,614,2026,valid,valid,valid
GreenBeads63x.lif-Series005,bead108,,,,,,,,,,0.9983709564636425,0.9951720065726959,0.9867736195975685,,1132,1324,valid,valid,valid
GreenBeads63x.lif-Series005,bead109,,,,,,,,,,0.9971018343583267,0.995026240999585,0.9842464220478214,,1392,1782,valid,valid,valid
GreenBeads63x.lif-Series005,bead110,,,,,,,,,,0.9980323445905934,0.9923661353420719,0.9833221749964196,,258,669,valid,valid,valid
GreenBeads63x.lif-Series005,bead111,,,,,,,,,,0.9968900413413948,0.9921775408514687,0.9826587291261719,,953,1347,valid,valid,valid
GreenBeads63x.lif-Series005,bead112,,,,,,,,,,0.9969662503333033,0.9954518725808811,0.9838189430359999,,1275,1640,valid,valid,valid
GreenBeads63x.lif-Series005,bead113,,,,,,,,,,0.9974511986656001,0.9947665911412232,0.9755049889130399,,388,851,valid,valid,valid
GreenBeads63x.lif-Series005,bead114,,,,,,,,,,0.9976657835721553,0.9952393609745904,0.9843695117314569,,160,1596,valid,valid,valid
GreenBeads63x.lif-Series005,bead115,,,,,,,,,,0.997011284812284,0.9969001909179005,0.9857707408393557,,1179,1892,valid,valid,valid
GreenBeads63x.lif-Series005,bead116,,,,,,,,,,0.997275472123758,0.9898158295259659,0.9804680502475025,,907,280,valid,valid,valid
GreenBeads63x.lif-Series005,bead117,,,,,,,,,,0.9960164981561858,0.9931665442247392,0.983730114875378,,1592,1282,valid,valid,valid
GreenBeads63x.lif-Series005,bead118,,,,,,,,,,0.9958672940401693,0.9928161513766687,0.9847859867662772,,706,20,valid,outlier (above upper fence of 0.308µm),valid
GreenBeads63x.lif-Series005,bead119,,,,,,,,,,0.9953335908115186,0.991422813830282,0.9774200405744219,,616,645,valid,valid,valid
GreenBeads63x.lif-Series005,bead120,,,,,,,,,,0.9966042664624644,0.9932369127794817,0.9790145039909476,,673,880,valid,valid,valid
GreenBeads63x.lif-Series005,bead121,,,,,,,,,,0.9971216603715062,0.9939780387513198,0.9838149933223755,,87,2033,valid,valid,valid
GreenBeads63x.lif-Series005,bead122,,,,,,,,,,0.9967280165276323,0.9945654556261541,0.9861789711428156,,1848,693,valid,valid,valid
GreenBeads63x.lif-Series005,bead123,,,,,,,,,,0.9978321640372645,0.9947289039849373,0.9847636824966832,,504,766,valid,valid,valid
GreenBeads63x.lif-Series005,bead124,,,,,,,,,,0.999139529297315,0.99724780913317,0.9891818297741788,,1885,1998,valid,valid,valid
GreenBeads63x.lif-Series005,bead125,,,,,,,,,,0.9963911529638804,0.9918220373279099,0.982560502693417,,729,159,valid,valid,valid
GreenBeads63x.lif-Series005,bead126,,,,,,,,,,0.997564544945342,0.9956675764045744,0.9905283088408191,,1494,1021,valid,valid,valid
GreenBeads63x.lif-Series005,bead127,,,,,,,,,,0.9968809732313487,0.994402577752269,0.9844624929777334,,341,1859,valid,valid,valid
GreenBeads63x.lif-Series005,bead128,,,,,,,,,,0.9977314929499943,0.9939432712826725,0.9898562117234417,,943,1610,valid,valid,valid
GreenBeads63x.lif-Series005,bead129,,,,,,,,,,0.9955055836946703,0.9943334390221116,0.9835910202197333,,1439,1317,valid,valid,valid
GreenBeads63x.lif-Series005,bead130,,,,,,,,,,0.9968287302572844,0.9885676554592896,0.9831753806943857,,1604,489,valid,valid,valid
GreenBeads63x.lif-Series005,bead131,,,,,,,,,,0.997546375111854,0.9968734820232225,0.9898697979950354,,1757,321,valid,valid,valid
GreenBeads63x.lif-Series005,bead132,,,,,,,,,,0.9956165904300002,0.9921668657433076,0.9827098862078261,,561,559,valid,valid,valid
GreenBeads63x.lif-Series005,bead133,,,,,,,,,,0.9967868997509325,0.9926619425786037,0.9806246402751025,,1740,1591,valid,valid,valid
GreenBeads63x.lif-Series005,bead134,,,,,,,,,,0.9961792814023067,0.991294288598621,0.9813066582122644,,46,1852,valid,valid,valid
GreenBeads63x.lif-Series005,bead135,,,,,,,,,,0.9959679201163615,0.9879506568009281,0.9708483383200607,,568,425,valid,valid,valid
GreenBeads63x.lif-Series005,bead136,,,,,,,,,,0.9972388118879636,0.994243537427512,0.9838133073395952,,1122,810,valid,valid,valid
